indicator_id,indicator_nameA,indicator_nameE,period,frequency,year,quarter,month,value,unitA,unitE,sourceId,periodicityId,periodicityA,periodicityE,dimensions,dataQuality,changeRate
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2024,A,2024,,,32.499,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2025,A,2025,,,41.1289864555,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,1996,A,1996,,,233.6,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,1997,A,1997,,,255.6,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,1998,A,1998,,,256.3,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,1999,A,1999,,,238.7,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2000,A,2000,,,335.4,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2001,A,2001,,,283.6,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2002,A,2002,,,285.8,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2003,A,2003,,,292.9,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2004,A,2004,,,283.8,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2005,A,2005,,,322.1,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2006,A,2006,,,344.7,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2007,A,2007,,,337.3,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2008,A,2008,,,362.1,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2009,A,2009,,,398.6,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2010,A,2010,,,312.5,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2011,A,2011,,,421.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2012,A,2012,,,472.5,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2013,A,2013,,,458.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2014,A,2014,,,795.8,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2015,A,2015,,,840.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2016,A,2016,,,1005.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2017,A,2017,,,1145.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2018,A,2018,,,1511.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2019,A,2019,,,2124.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2020,A,2020,,,2141.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2021,A,2021,,,3080.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2022,A,2022,,,1413.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2023,A,2023,,,1872.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2024,A,2024,,,6035.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
244,قيمة دعم التأمين الصحي والأدوية,Medicine and Health Insurance Subsidy,2025,A,2025,,,8338.0,مليون جنيه,Million L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1982,A,1982,,,8.108137,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1991,A,1991,,,12.717286,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1992,A,1992,,,13.005358,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1993,A,1993,,,13.57282,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1994,A,1994,,,14.185062,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1995,A,1995,,,14.827549,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1996,A,1996,,,15.030207,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1997,A,1997,,,15.328912,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1998,A,1998,,,15.728932,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,1999,A,1999,,,16.002832,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2000,A,2000,,,16.279698,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2001,A,2001,,,16.528759,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2002,A,2002,,,16.702548,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2003,A,2003,,,16.849312,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2004,A,2004,,,16.922437,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2005,A,2005,,,17.110415,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2006,A,2006,,,17.146301,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2007,A,2007,,,17.243072,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2008,A,2008,,,17.675613,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2009,A,2009,,,18.096528,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2010,A,2010,,,18.41188,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2011,A,2011,,,19.585698,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2012,A,2012,,,19.881026,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2013,A,2013,,,20.384792,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2014,A,2014,,,20.605621,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2015,A,2015,,,21.266233,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2016,A,2016,,,21.860608,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2017,A,2017,,,22.458098,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2018,A,2018,,,23.201776,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2019,A,2019,,,24.200531,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2020,A,2020,,,25.344815,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2021,A,2021,,,26.30591,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2022,A,2022,,,27.276184,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2023,A,2023,,,28.029879,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2024,A,2024,,,28.509,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
346,عدد التلاميذ المقيدين بالتعليم قبل الجامعي,Number of Enrolled Students at Pre-university Education,2025,A,2025,,,28.930397,مليون طالب,Million Student,52073,68,سنة دراسية,School Year,الدولة : مصر,,
353,عدد السكان,عدد السكان,2011-01,M,2011,,1,79764.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-02,M,2011,,2,79842.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-03,M,2011,,3,80056.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-04,M,2011,,4,80207.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-05,M,2011,,5,80353.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-06,M,2011,,6,80584.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-07,M,2011,,7,80410.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-09,M,2011,,9,81075.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-10,M,2011,,10,80639.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-11,M,2011,,11,81084.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2011-12,M,2011,,12,81503.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-01,M,2012,,1,81542.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-02,M,2012,,2,81761.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-03,M,2012,,3,81839.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-05,M,2012,,5,82136.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-06,M,2012,,6,82379.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-07,M,2012,,7,82841.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-08,M,2012,,8,83010.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-09,M,2012,,9,83174.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-10,M,2012,,10,83349.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-11,M,2012,,11,83512.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2012-12,M,2012,,12,83676.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-01,M,2013,,1,83835.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-02,M,2013,,2,83997.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-03,M,2013,,3,84165.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-04,M,2013,,4,84328.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-05,M,2013,,5,84502.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-06,M,2013,,6,84675.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-07,M,2013,,7,84844.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-08,M,2013,,8,85017.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-09,M,2013,,9,85185.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-10,M,2013,,10,85359.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-11,M,2013,,11,85527.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2013-12,M,2013,,12,85718.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-01,M,2014,,1,85880.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-02,M,2014,,2,86043.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-03,M,2014,,3,86211.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-04,M,2014,,4,86379.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-05,M,2014,,5,86553.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-06,M,2014,,6,86721.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-07,M,2014,,7,86895.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-08,M,2014,,8,87145.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-09,M,2014,,9,87237.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-10,M,2014,,10,87411.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-11,M,2014,,11,87579.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2014-12,M,2014,,12,87747.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-01,M,2015,,1,87937.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-02,M,2015,,2,88180.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-03,M,2015,,3,88279.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-04,M,2015,,4,88700.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-05,M,2015,,5,88900.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-06,M,2015,,6,89000.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
353,عدد السكان,عدد السكان,2015-07,M,2015,,7,89200.0,ألف نسمة,Thousand persons,2061,45,شهرى,Monthly,الدولة : مصر,متوسطة,
